browser_id,blocked_by_China,blocked_by_France,blocked_by_Germany,blocked_by_India,blocked_by_Israel,blocked_by_Japan,blocked_by_Scandinavia,blocked_by_USA,blocked_by_VAE
openwpm_native_il_2,1.3,3.7,14.2,1.1,0.1,28.5,1.5,33.4,0.6
openwpm_native_us,0.9,5.4,27.4,1.6,0.1,45.1,2.3,60.6,1.3
openwpm_native_ae,0.8,3.3,16.4,1.6,0.1,23.4,1.2,30.1,0.7
openwpm_native_cn,2.3,1.8,5.6,0.8,0.0,11.2,0.7,12.9,0.4
openwpm_native_il,0.7,4.6,10.3,1.7,0.3,21.3,1.0,23.3,1.7
openwpm_native_jp,1.6,4.5,15.2,1.8,0.1,40.2,0.8,32.9,0.7
openwpm_native_no_2,1.0,3.2,4.2,0.8,0.1,16.2,1.3,15.3,0.7
openwpm_native_us_2,1.3,4.4,22.4,1.3,0.2,36.9,1.5,48.4,0.8
openwpm_native_cn_2,1.0,3.9,16.9,1.3,0.1,30.6,1.5,36.8,0.7
openwpm_native_in,0.5,2.9,15.5,1.5,0.1,21.1,0.9,27.7,0.6
openwpm_native_de_2,1.2,3.1,4.7,0.8,0.1,16.9,1.3,15.3,0.7
openwpm_native_de,0.7,1.9,2.0,0.7,0.1,7.2,2.4,7.9,0.9
openwpm_native_in_2,1.2,3.3,12.5,1.1,0.1,26.8,1.4,29.5,0.7
openwpm_native_fr_2,1.2,3.2,4.3,0.8,0.1,16.5,1.5,15.0,0.7
openwpm_native_jp_2,1.1,3.4,12.8,1.1,0.2,24.0,1.5,29.8,0.7
openwpm_native_no,0.5,2.2,2.3,0.8,0.2,9.0,1.6,7.8,0.6
openwpm_native_ae_2,1.2,3.5,15.6,1.2,0.1,27.9,1.4,34.1,0.7
openwpm_native_fr,0.6,2.2,2.1,0.6,0.1,8.1,1.1,7.8,0.6