rule_filterlist_China,blocked_etld
.gif|$domain=7mshipin.org|viidii.info,17275
/images/*.gif$domain=2c2.website|2p8.space|adultgao.com|caopop.com|caoporn.com|caouoo.com|caox.cc|h3e.pw|h3y.pw|k88.club|me88.pw|p5p.space|se88.space|t2p.space|tb001.xyz|te88.pw|vwan.xyz|xhao1.com,10027
/banner.js$domain=28188.com|28188.net,242
/jquery.modal.$domain=1909.me|8se.me|litu100.xyz,144
|http://ad.$domain=~ad.cnr.cn|~ckckk.com|~jxnews.com.cn,23
/acmsd/*,18
.xyz/ad/ <+> .top/ad- <+> .com/js/ad_,16
/images/masha*.png <+> /images/sgcrwj*.gif <+> /images/segucrwj*.gif <+> /images/mobileads*.jpg <+> /images/masha*.gif <+> /images/segucrwj*.jpg <+> /images/sgcrwj*.jpg,14
/js/ads/*5.js <+> /js/ads/hf*.js <+> /js/ads/*2.js <+> /js/ads/*0.js,13
/template/*/ads/*,12
://*.tv/ad/$domain=~moviedj.tv,8
/css_js/*$domain=aiyangedu.com|duanmeiwen.com|jy135.com|oh100.com|qunzou.com|ruiwen.com|unjs.com|yjbys.com|yuwenmi.com,8
.net/js/ads/ <+> .top/ads/ <+> .icu/ads/ <+> /js/ads/neiye <+> .xyz/js/ads/ <+> /js/ads/yezi <+> /images//ads/* <+> .cc/js/ads/ <+> /js/ads/to <+> .cn/ads/ <+> .cn/js/ads/,7
/frm_adv.aspx,7
.bt*.com/imgs.js?t= <+> ://*btbtt.*/imgs.js <+> /bt*.com/imgs.js?t=,7
.cc/ad/,6
/adinfo?,6
/koukoku/*.gif,5
/xxgg/book.js,5
|http://*/js/ad.$domain=~coolpc.com.tw|~sac.net.cn,4
/js/common/gg.js <+> /gg.php <+> /gg_t.php <+> .com/gg.js <+> /gg_d.php,4
/cpro/ui/*,4
/nordvpn/autoptimize_,4
://rou*/_next/static/chunks/pages/home-,4
/js/bdgg/*,3
://btt*/Runtime/js/psData.,3
/webcam.mp4$domain=91porn.com,3
/koukoku/list?positions=,3
.info/ad.js <+> .info/js/ads/ <+> .info/ad/,3
||sax*.sina.,2
/the_top$domain=28188.com|28188.net,2
/addon/assets/common/gg.js,2
||allyes.$third-party,2
/floatad.$domain=~fwxgx.com,2
/pic/ad/*,2
/skin/header.$domain=iimanhua.cc|iimh.net,2
/wxhfm.html?cid=,2
/xiwang/dfumeiti.js,2
/videoJS/video-conrtib-ads.js,2
||gimy.*/images/eee*.png,2
||xchina.*/plugins/jquery.modal/,2
/adcg/*,2
/adpuba/*,2
/View/img/b72890.jpg,2
/xiwang/fumeiti.js,2
/wxh_asy.js,2
/public/imgbed/gg/*,2
/tan.js,2
||h1.kukuw.com^,1
||m1170.top^,1
||phb123.com/skin/js/tongji.js,1
||m6690.top^,1
||okooo.com/I/?method=system.data.ad&,1
||cupid.iqiyi.com/mixer?,1
||adsage.com^$third-party,1
||17173.com/new/,1
||pchome.com.tw/js/overlay_ad.js,1
||aiviy.com/assets/js/union.js,1
||uu22332.com^,1
||cartoon18.com/images/friend/,1
||same.chinadaily.com.cn^,1
||jads.co^$domain=avgle.com,1
||autohome.com.cn/api/lives/getliveroom?$domain=~live.autohome.com.cn,1
||huya.com*/cache1min.,1
||666bb777ww.com^,1
||cbjs.baidu.com^,1
||g2ak5.com^,1
||sciencenet.cn/field/js/news.,1
||777bb111ww.com^,1
||pagechoice.net^$third-party,1
||qhocciks.com^,1
||pos.baidu.com^,1
||mixer.sina.cn^,1
||aizhan.com/imagesa/,1
||cbthkumwa96.shop^,1
||222aa333bb.com^,1
||mh616.org^,1
||hsbianma.com/Ad/,1
||citysbs.com/no/*/980x,1
||kiwihk.net^$third-party,1
||booking.com^$domain=honglingjin.co.uk|sunnylife.tw,1
||gamersky.com/common/tg/,1
||cnblogs.com/group/T2,1
||apsgo.com/assets/js/union.,1
||iiilab.com/sponsor,1
||360buyimg.com^$domain=chdbits.co|qianggou5.com,1
||tklivechat.com/widgets/$third-party,1
/sfsafsadfjbbj-dsafjnb-1321533417.,1
||cdncg.com^*/Aepku,1
||rakuten-static.com^$domain=cwyuni.tw,1
||destinyssa.com^,1
/Runtime/js/fumeiti.,1
||ruten.com.tw^*/ahd_,1
||cdn77.org^*.mp4|,1
||enennsa.gushiwen.cn^,1
||2345.com/js/index/activity/,1
||right.com.cn/logo/*.gif,1
||neess105.top^,1
||cdmgac.xyz^,1
||xfztgxt.com^,1
||tt1069.com/bbs/zgg_,1
||17173.com/if/,1
/media/fitad/*,1
||0940088.com^,1
||json.cn/d/dt/,1
||gtimg.com^*/ad/,1
||sojson.com/ps/list.,1
/live173/640320_,1
||chinaz.com/c0g/,1
||commonwealthproficient.com^,1
||xwdsp.com^,1
||u55011.com^,1
||vjvj.vj24co.com^,1
||img3.126.net^,1
||sexy-more.com^$third-party,1
||9y01.xyz/app/index.html,1
||ip138.com/banana/,1
||meiguixs.net/images/*.js,1
||esqhsm.xyz^,1
||polyfill.io^,1
||hitchprivilege.com^,1
||cpro.zol.com.cn^,1
||a1.zhanzhang.net^,1
||999bb222ww.com^,1
||jd-bbs.com^*/gif/,1
||toptoon03.xyz/app/tuijian.html,1
||a.cnki.net/a/,1
||vainanalyst.com^,1
||ntdtv.com/assets/themes/ntd/js/article_ads.js,1
||dangdang.com/adall.,1
||fobshanghai.com/bbsad/,1
||baitu3lllqubyqmttdkjsv.com^,1
/caches/poster_js/*,1
/js/guanggao_gg.js <+> /guanggao/* <+> /guanggao.,1
||at*.doubanio.com^,1
/heji/mei00*.js,1
||cpro.baidustatic.com^,1
||csdnimg.cn^*#/preview/,1
||imglnkd.com^$domain=xiuren.org,1
||17173cdn.com/a/lib/vda/seed.js,1
||iy.com.cn^$third-party,1
||jjwxc.net/jjPopup.php,1
||yiqifa.com^*.js$third-party,1
||badmintoncn.com/cbo_include/js/cboaaa.js,1
_vmind.qqvideo.tc.qq.com^ <+> /vmind.qqvideo.tc.qq.com^,1
||anyshare.icu^*.js,1
||penxiangge.com^,1
||baucraell.com^,1
||xzji.com/data/block_js/softShow_,1
||333uu.org/config/,1
||mangafuna.xyz/static/ads/,1
||d0.xcar.com.cn^,1
/js/index_adfloat.js,1
||scupio.com/adpinline/,1
.tor*/js/jquery.bpopup.,1
||86uk.com/uploads/*0x,1
||xcar.com.cn/dsp/ad,1
||boylove.cc^*/img/20*.gif,1
||right.com.cn/forum/static/image/common/logo*.gif,1
||olmsoneenh.info^$domain=avgle.com,1
_yad_jsonp_,1
||setn.com/js/idleAD.,1
||sinaimg.cn^$domain=172.86.179.138|208.94.244.100|208.94.244.98|a88.us|ac168.info|ac88.info|aisex.com|cnnice.biz|go543.com,1
||88lm09.com^,1
||utxmb.cn^,1
||pcmx.autohome.com.cn/impress?,1
||cntv.cn/hezuo/,1
/vjioew-1322507002.,1
||d1.1ppt.com^,1
||bd.dhsz.cn^,1
||docin.com/jsp_cn/ad/,1
||fuimg.com^$domain=678cn.com|cfzhushou.com,1
||hboav.com/guga/,1
||knifdlad.top^,1
||ax1x.com^$domain=caibaojian.com|hktvyb.com|zzvips.com,1
/piaofu.js,1
||c11011.com^,1
||douyucdn.cn/butterfly-java/*?width=1200&height=120&,1
||av6k.com/templets/default/video-ad/,1
||666bbb333bbb.com^,1
||ydgal.com/axfile/,1
/tm00738.bj.,1
/img/hgame/*_1280x <+> /img/hgame/*_600x,1
||caixin.com/s?z=,1
||wbvfj.xyz^,1
||u25011.com^,1
||sina.com.cn/litong/,1
||kkjhgfds.top^,1
||ichc1.xinglinpukang.com^,1
||cnfol.com/f=ud/Js/Ad,1
||wnifdlae.top^,1
||donchen501.cn^,1
"||t*.baidu.com/it/u=*,*&fm=76$third-party",1
||aaoisp.com^,1
||p.zol.com.cn/download/detail.js,1
||pbmp.ali213.net/js/,1
||tenmax.io^$third-party,1
||erebor.douban.com^,1
||hao123.com/erjiapi/adv?,1
||a.jyeoo.com/js?,1
/main/s?,1
/js/wlfloat.js,1
||creaders.net*/ad_func.js,1
/nForum/files/adv/*,1
||jtyusia.top^,1
||udiab1.jianshu.com^,1
||nex.163.com/q?,1
||dy2018.com/js17/,1
||chushoushijian.cn^,1
||hh6820123.com^,1
||moe48.com/static/img/1200x,1
||2023sb.net^,1
"||f*.baidu.com/it/u=*,*&fm=$third-party,domain=~hao123.com|~haokan.com|~yoojia.com",1
/advert/youxi.js,1
||3400.org^,1
||gamersky.com/g/gamerskyflash.js,1
||rou.video/_next/static/chunks/pages/fuli-,1
||ip.sb/assets/images/*_ads.,1
||elecfans.com/webapi/advertisement/,1
||benpsbp.com^,1
||twrank.com^$third-party,1
||jxnews.com.cn^*_ad_,1
||baidu.com/api/wikiad/,1
||nhcdn.cn^,1
||img1.126.net^,1
||md.tvzhe.com^,1
/js/AD_tv.js <+> .tv/js/ads/,1
||xdf.cn/v4/js/leyus/,1
||tu2024020388.com^,1
/hongie-1322507002.,1
||888bb555ww.com^,1
||xiaodutv.com/xda?,1
||86uk.com/banners/,1
||huanqiu.com/resource/js/base,1
||sogou.st^,1
||sentcss.com/get/showcase/,1
||caomeixz7.xyz^,1
||gghhct36.shop^,1
||alimama.alicdn.com^,1
||achost.top/uploads/ads/,1
||a.nowscore.com^,1
||jxcn.cn/js/hotpic_,1
||17173cdn.com/a/oms/oms-data.,1
||u7u9.com^$third-party,1
||jaychu.top^,1
||ymmiyun.com^,1
/view/image/ngps1.gif,1
||p.zol-img.com.cn^,1
||news.sina.com.cn/pfpnews/js/libweb.js$domain=~www.sina.com.cn,1
||bu1.vvvdj.com^,1
||loli.net^$domain=9kanqq.com|acglover.me|hdsky.me|magnet2048.com|nulltm.com,1
||dmzj.com/js/ad/,1
||bmp.ali213.net/js/,1
||mc.weather.com.cn^,1
||cpro.baidu.com^,1
||news.ssp.qq.com/app,1
||8h93.com^*.gif,1
||cnfol.com/pc/Js/as/,1
/ajds/*,1
||cr173.com/show/,1
||tnifdlai.top^,1
||miaozhen.com^$third-party,1
/ggtp/*,1
|http://*/js/ad/ <+> |http://*.cn/ad/,1
||ifengimg.com^*/yingguang-,1
||sohu.com/api/labs/hotnews/c/load?,1
||douyucdn.cn/japi/sign/web/getinfo,1
||as1.m.hao123.com^,1
||8mg050.n3cdn1.secureserver.net^*.gif,1
||news.cn/2021detail/js/booklist.js,1
||am.szhome.com^,1
/js/dyguosj/*,1
.zone/ads/,1
||su.bdimg.com/static/dspui/js/,1
||a2put.chinaz.com^,1
||sina.cn/check?,1
||a.baidinet.com^,1
/ggvip/*.js,1
||u25022.com^,1
/hjstore/system/banner/*.txt,1
||qq.com/livemsg?,1
||speedtest.cn/api/v2/show?,1
||qy0.ru/data/game/,1
||jianpian.vip^$third-party,1
||ali213.net/pubjs/SetScreen,1
||btwuji.com/jsj1/,1
||qq.com/pc/batch_get_ads,1
||radikal.ru^$domain=18board.com|18p2p.com,1
||4gamers.com.tw/site/api/aols/media?,1
||weibo.com/ajax/feed/getTipsAd?,1
||t.cn^$domain=28kys.com|92kvip.com,1
||tom.com/adsender/,1
||bdcode.2345.com^,1
||bba9603w.com^,1
||people.com.cn/adv/,1
||s.yimg.com/uv/dm/scripts/syndication.js,1
||u833ij.com^,1
||adpai.thepaper.cn^,1
||fun8.us^$domain=cartoonmad.com,1
||yuntue.com/zb_users/plugin/MoreLinks*.php,1
||qkscga.xyz^,1
||taoguba.com.cn/res/js/tgbgg/,1
/live173_*/46860.,1
||unifdlat.top^,1
||img2.126.net^,1
||uu11881.com^,1
||jquery.envi-met.com.cn^,1
||ad-survey.com^$third-party,1
||bd-js1.2345.com^,1
||ali213.net/static/js/kv,1
||adimg.liba.com^,1
||5054399.com/js/rice/m.js,1
||pcauto.com.cn/zt/halfprice/,1
||fenxi.com^$third-party,1
||32.huanqiu.com^,1
||9k9k.com/jscode/js/,1
/os230718.oss-,1
||adzdgr-wadd2-f1d.com^,1
||dy2018.com/jsdd/,1
||oschina.net/uploads/cooperation/,1
||bejson.com/static/ydxyt/,1
||dgaxrjj0jwpwp.cloudfront.net^,1
||moegirl.org.cn/insight/MoegirlInsight.,1
||cdn.wuyou.ca^,1
/attachment/freeaddon_banner/*,1
||zhihu.com/commercial_api/banners_,1
||abc.hkepc.net^,1
||cnblogs.com^*/sideColumnAd?,1
||jiemian.com/static/jmw/js/adBase_,1
||pconline.com.cn/js/ivy.js,1
||zx.docin.com^,1
||pics.xgo-img.com.cn^,1
||bnalzlv.top^,1
||dup.baidustatic.com^,1
||proginn.com/cms/10000/,1
||88lm05.com^,1
||tc911.vip^,1
||bdx.playnext.cn^,1
||imgur.com^$domain=172.86.179.138|208.94.244.100|208.94.244.98|a88.us|ac168.info|ac88.info|aisex.com|cnnice.biz|go543.com,1
/assets/t_j/tongji.js,1
||fotao9.com^,1
||0322cfmtl.cc^,1
/Php/Home/kakaxiaikakaxi.php,1
||8feichai.com^,1
||cdncg.com^*/peiyinquan,1
||crxs.me/scripts/my_,1
||wujiupic.com^,1
||ityusio.top^,1
||tinypic.com^$domain=172.86.179.138|208.94.244.100|208.94.244.98|a88.us|ac168.info|ac88.info|aisex.com|cnnice.biz|go543.com,1
/jianpian.obs.cn-,1
||555bbb333bbb.com^,1
||zol-img.com.cn/detail/js/module/app-download-float/script.js,1
||ivy.pconline.com.cn^,1
||upload.cc^$domain=141jj.com|mizhiav.com,1
/banner468x60_live173.,1
||kzepp.com^,1
||chinaz.com^*_g/,1
||pstatp.com^$domain=5217kdy1.xyz|ahah3.com|i5qs.com,1
||mpn56e.cn^,1
||crxs.me/upload/ad/,1
||cacafly.net^,1
||mmo2350.top^,1
||520click.com/ad.$domain=~video.520cc.cc,1
||dongchedi.com/motor/ad/,1
||3q1lsj.cn^,1
||cr173.com/js/,1
"||mediav.com^$third-party,domain=~dev.360.cn|~g.360.cn",1
/500ad/*,1
||adx.mala.cn^,1
||alicdn.com^$domain=1avlang.com|2334n.com|51dll.com|52kpop.com|5xx44.com|5xx77.com|63ef.com|69t41.com|7mav2.com|99a21.com|acglover.me|aotu101.com|ccxx99.com|dytt.com|hanfan.cc|jb51.net|jitapu.com|junying.com|jvhao.com|lady3.xyz|magnet2048.com|qingmanyong.com|qyl00.com|qyl222.com|spqi.xyz|supfree.net|that2.info|thztv.cc|ttww22.com|viidii.info|wenkuxiazai.com|xiaomingming.org|yuese46.com|yzz12.com,1
||dmm.aizhan.com^,1
||ali213.net/static/js/*_ali213tv.js,1
||titan007.com/js/indexshow.,1
||rmhfrtnd.com^$third-party,1
||img2.titan007.com^,1
||sina.com.cn/other/src/app/FinanceAppPics.js,1
||sohu.com/mdevp/*-advert/,1
||amradmin.5173.com^,1
||ruten.com.tw/js/gads_,1
||u21033.com^,1
||jnifdlaa.top^,1
||xylhwdu.com^,1
/gmu-download.oss-,1
||zfzys.top^,1
||777bbb222bbb.com^,1
||dy2018.com/js/tj.js,1
||gdt.qq.com^,1
.lu/ads/,1
||mmn811.top^,1
.js?advertID=,1
||uu22002.com^,1
||bjcathay.com/s?z=,1
||uu22662.com^,1
||eyny.com/data/cache/js_show_ads.js,1
||nfuwow.com/static/nfuwow/source/front/new/images/,1
.com/js/addp.js <+> .xyz/js/addp.js,1
||xoimg.com^$domain=18board.com|18p2p.com,1
.tw/ads/,1
||meijutt.*/js/pcjs/,1
||g1.tagtic.cn^,1
/advpic/* <+> /wap_advpic/*,1
/pj98co.oss-,1
||lianmeng.360.cn^$domain=~lianmeng.360.cn,1
||dsp.ali213.net^,1
.test15./,1
||zol.com.cn/adrs/,1
||g.163.com/*&affiliate=,1
||ax.ifeng.com^,1
"|http://gg.$third-party,domain=~guagua.cn",1
||sciencenet.cn/html/js/n,1
||adsmind.gdtimg.com^,1
||ad.52av.one^,1
||qpb*.sohu.com^,1
||eastmoney.com/banner/,1
||trip.com/partners/ad/,1
||ssp.hinet.net^,1
||images.sohu.com/bill/,1
||adv-sv-show.focus.cn^,1
||same.eastmoney.com^,1
||hoopchina.com.cn^*/ad-pc-sdk.,1
||cnfol.com/tui/,1
||gamemale.com/static/js/valida.js,1
||xn--1qwynp09f.net^,1
||qunar.com/vataframe/b.html?,1
||cnkang.com/showcodejsonp?,1
.com/static/js/ad.js,1
||sspai.com/api/v1/recommend*=article_,1
||yoyi.com.cn^$third-party,1
||pconline.com.cn/_hux_/,1
||souche.com^*.gif,1
||ifengimg.com/ifeng/sources/,1
||999xx999kk.com^,1
||bcebos.com/59x360x528.gif,1
/2016v2/js/adm2.js,1
.com/adv1/?q=,1
||qhemphox.com^,1
||163.com/special/*=ad_,1
||adutp.com^$third-party,1
||bt-tt.com/ad,1
||3dmgame.com/page/img/shangcheng,1
||gn01.top^,1
||dnn1300.top^,1
||digitaloceanspaces.com^*-Banner,1
||da.mgtv.com^,1
/adinfos?*&ane=pic1,1
||vibber.download^,1
||ja*.gamersky.com^,1
||a2.xinhuanet.com^,1
||imgtg.com^*.gif,1
||cnfol.com/index_new.php?id=,1
||stgowan.com^$third-party,1
/cm-pop-up-banners-,1
||dwfdsfkw.xyz^,1
||files.jb51.net/image/,1
||88lm06.com^,1
||geekbang.org/public/serving/,1
"||tanx.com^$third-party,domain=~1688.com|~alimama.com|~tmall.com|~www.taobao.com",1
||ifeng.com/a_if/,1
||kfpnqug.cn^,1
||kuaidi100.com/assets/ext?method=mainprofile,1
||ra6.xyz^,1
||discuz.gtimg.cn/cloud/scripts/discuz_tips.js,1
||atm.youku.com^,1
/tuiguang/*$domain=~jikexiu.com|~jikexiu.vip,1
||u33011.com^,1
||4399.com/jss/*coup.js,1
||nba55.cc^,1
/mobilegame/getroomapp?,1
||qunar.com/vata?chan=,1
||tq121.com.cn/j/ad/,1
||4gamers.com.tw/ads-,1
||zfp32.buzz^,1
||yt-adp.ws.126.net^,1
||sina.cn/cm/sinaads_,1
_btbttme/fox/img/QT_,1
||sohu.com/adgtr/,1
||bpztsxx.com^,1
||crxs.me/plugins/jquery.modal/,1
||pitawastarkani.com^,1
||duomai.com^$third-party,1
||hdjthzg.cn^,1
||vainews.cn^,1
||mcmod.cn/editor/upload/20221126/1669399546_2_ONBt.,1
