rule_filterlist_Germany,blocked_etld
/googleads.$domain=g.doubleclick.net|googlesyndication.com,42
/pagead2.$domain=g.doubleclick.net|googlesyndication.com|imasdk.googleapis.com,42
/werbung/*$third-party <+> /werbung.$third-party,21
.de/ads/$~xmlhttprequest,12
/images/werbung/* <+> /_werbung/* <+> _werbung.pl <+> /img/werbung/* <+> /werbung/banner_ <+> .de/werbung/ <+> /werbung/banner/* <+> /werbung.gif <+> .net/werbung/ <+> .com/werbung_ <+> _Banner_Werbung_ <+> /werbung_banner. <+> _werbung.php <+> /images/werbung. <+> /werbung__,11
_werbebanner. <+> /werbebanner- <+> _werbebanner/ <+> /werbebanner_ <+> /werbebanner/* <+> -Werbebanner- <+> /werbebanner.,10
^what=zone^$domain=ww3.cad.de|ww4.cad.de,6
_video_ads/$domain=imasdk.googleapis.com,4
/Werbung/*_banner_ <+> /werbung_*?,4
&werbemittel= <+> /werbemittel_ <+> /werbemittel/*,4
/upload/werbung/*,2
||banner.click-tt.de^,1
||vfl-bochum.de^*/Partner/,1
||datingpartner.com/medien/$third-party,1
||utopix.net/utopia_de/js/loader.js,1
||serving-sys.com/BurstingRes/$domain=imasdk.googleapis.com|serving-sys.com,1
||widget.marktjagd.de^,1
||googlesyndication.com/pagead/$domain=g.doubleclick.net|googlesyndication.com,1
||storage.googleapis.com/ba_utils/,1
||mygully.com/f.php,1
||fussballn.de/Images/Design/sportplatzmedia2.png,1
||synchronkartei.de/img/ext/,1
||code.alpin.de^,1
||ad.yieldlab.net^$domain=gofeminin.de,1
||kaufland.de^*&showSpads=true^,1
||pornohut.info/ad/,1
||pear.focus.de^,1
||pi-news.net/wp-content/uploads/*/Banner_,1
||dasoertliche.de/js/rmif.js,1
||nonstopnews.de/bilder/Banner/,1
||erotikforum.at/data/siropu/,1
||adup-tech.com^$domain=autobild.de,1
||vfb.de^*/sponsoren/,1
||allesregional.de^*/ar-widget/*^app-mode=offers^$third-party,1
||goldpreis.de/ajax/revs.php?,1
||ringier-advertising.ch^$third-party,1
||wazazu.com/iframe/$third-party,1
||maniac.de/campaigns/,1
||faz.net/f6/ad/,1
||yieldlab.net^$domain=autobild.de,1
/images/werb/* <+> /werb.php <+> /images/_werb_ <+> /werb.gif <+> .de/werb/ <+> /images/werb_,1
||mothor.de/webbanner/,1
||dubisthalle.de/wp-content/uploads/*_banner_,1
||plus.tourispo.com^,1
||areadvd.de/images/*/Teufel_100x150.gif,1
||adsrvr.org^$domain=autobild.de,1
/nativendo.js <+> /nativendo/*,1
||ced.sascdn.com^,1
||partner.schalke04.de^,1
||betrad.com^$domain=googlesyndication.com,1
||conative.de^$third-party,1
||cas.criteo.com^$domain=autobild.de,1
||mygully.com/at1.php,1
||huren-inserate.com/banner/,1
||oberberg-aktuell.de/Banner/,1
||pornohammer.com/img/linklist/,1
||goldsilbershop.de/widgets/$third-party,1
||all-inkl.com/banner/$third-party,1
||sexvideos-hd.com/img/linklist/,1
||tagrpd.de^$third-party,1
||uhrforum.de/styles/uhrforum/anzeigen/,1
||meetingpoint-brandenburg.de/upload/ads_,1
||amunx.de^$third-party,1
||hl-live.de/aktuell/grafiken/vg/,1
||areadvd.de/IOTAVX.jpg,1
||ebesucher.de^$third-party,1
||adcell.com^$domain=autobild.de,1
||oeffentlichen-dienst.de/images/banners/,1
/medien/werbung/*,1
||pagead2.googlesyndication.com^$domain=autobild.de|gofeminin.de,1
"||smartclip.net^$~media,domain=toggo.de",1
||jojoad.com^$third-party,1
||3druck.com/wp-content/uploads/*/da-vinci-color.jpg,1
||teads.tv^$domain=autobild.de,1
||nr-kurier.de/images/mankwetter.png,1
||roemerforum.com/banner/,1
||inv.lapippa.com^,1
||schnittberichte.com/pics/werbung/,1
||intellitxt.com^$domain=autobild.de,1
||tagblatt.de/CustomImages/Bannerkarusell/,1
||cas.*.criteo.com^$domain=autobild.de,1
||nativendo.de^$third-party,1
||saechsische.de/img/spkv.png,1
||trainersuchportal.de/partnerwidget/$third-party,1
||smartstream.tv^$domain=imasdk.googleapis.com,1
||osthessen-zeitung.de/uploads/tx_macinabanners/,1
||buffed.de/tsimg/topbanner/,1
||bluray-disc.de/images/banner/,1
||all-inkl.com^*/banner/$third-party,1
||b.big7.com^$third-party,1
||6profis.de/banner/,1
||recognified.net^$third-party,1
||cpdsrv.de^$third-party,1
/o2-layer.,1
||xhamsterde.com/ad/,1
||finative.cloud^$third-party,1
||dubisthalle.de/wp-content/uploads/*_300x300_,1
||fck.de^*/partner_,1
||fussballn.de/images/design/anpfifffussballn.png,1
||weekli.systems/www/widgets/$third-party,1
||ad.doubleclick.net^$domain=autobild.de,1
||f11-ads.com^$domain=gofeminin.de,1
||a.check24.net/misc/view.php$domain=~wechseln.de,1
||aff.carvertical.com^$third-party,1
||communicationads.net/tb.php,1
||hl-live.de/banner/,1
||wetteronline.de/mdr/p_adplace/,1
||ayurvedazentrum-brandenburg.de/webbanner/,1
||gn-online.de/ad/,1
||googletagservices.com/tag/js/gpt.js$domain=gofeminin.de,1
||trafficfabrik.com^$third-party,1
||adform.net^$domain=autobild.de|gofeminin.de|googlesyndication.com,1
||pubmatic.com^$domain=gofeminin.de,1
||cdn.plus500.com/media/banners/,1
||tdn.da-services.ch^,1
||krone.at/talk-ads/,1
||mirando.de^$third-party,1
||googlesyndication.com/safeframe/$domain=g.doubleclick.net|gofeminin.de|googlesyndication.com,1
||pi-news.net/wp-content/uploads/ad-,1
||pi-news.net/wp-content/uploads/*/pax_aktiv.jpg,1
||rtbsuperhub.com^$third-party,1
||feierabend.de/gta/,1
||dfb.de/img/partner-logos/,1
/werbebox/*,1
||pedelecforum.de/forum/styles/pedelec/direkt/,1
||mookie1.com^$domain=autobild.de,1
||erogeschichten.com/mdhpic/,1
||symplr.de^$third-party,1
||feedad.com^$third-party,1
||nacktefoto.com/los-gif/,1
||nnz-online.de/_daten/banner/,1
||wp.com/nh24.de/wp-content/uploads/*/Banner-,1
||spotxchange.com^$domain=imasdk.googleapis.com,1
||hammerporno.xxx/js/spx_resposive_rotator.js,1
||imasdk.googleapis.com^$domain=autobild.de,1
||nonstoppartner.net^$third-party,1
||fussball.de^*/partner/,1
||ak-kurier.de/akkurier/www/images/,1
||112-magazin.de/images/banners/,1
||ak-kurier.de/akkurier/www/upload/,1
||atf-tagmanager.de^$third-party,1
||addefend.com^$third-party,1
||stadt-bremerhaven.de^*/psw.jpg,1
||rtax.criteo.com^$domain=autobild.de,1
||adsplash.de^$third-party,1
||googletagservices.com/dcm/dcmads.js$domain=autobild.de,1
||delmovip.com^,1
||playamedia.com^$third-party,1
||ptadsrv.de^$third-party,1
||tvdigital.de/frontpage/deutschland_urlaub_horzu_,1
||weekli.de/widget-loader?$third-party,1
||ak-kurier.de/akkurier/www/pic/,1
||tvdigital.de/frontpage/deutschland_urlaub_hoerzu_,1
||borussia.de^*/sponsors/,1
||ay.delivery^$third-party,1
||4strokemedia.com^$third-party,1
||gayads.biz^,1
||trafico.prensaiberica.es^,1
||lead-alliance.net/tb.php$third-party,1
||adsafeprotected.com^$domain=autobild.de|imasdk.googleapis.com,1
||perfectmarket.com^$domain=autobild.de,1
||finanzen.net/images/b_realtime/vontobel-banner.jpg,1
||aerzteblatt.de/inc/js/ba_utils/arzt.js,1
||pornoklinge.com/img/linklist/,1
.de/ads? <+> .de/ads_ <+> /bilder/ads/*,1
||2mdn.net^$domain=autobild.de|imasdk.googleapis.com|serving-sys.com,1
||h5v.eu^$third-party,1
||wixnm.com^,1
||wohnmobilforum.de/motorradtraeger.jpg,1
||adnxs.com^$domain=autobild.de|widgets.outbrain.com,1
||serving-sys.com/BurstingCachedScripts/$domain=serving-sys.com,1
||schnittberichte.com/resources/images/saturn_,1
||viralize.tv^$domain=n-tv.de,1
||wazazu.com/js/pu_$third-party,1
||kauf6.com/img/banner/,1
||wohnmobilforum.de/wasserhy.jpg,1
||moatads.com^$domain=autobild.de,1
||amazon-adsystem.com^$domain=autobild.de|gofeminin.de,1
||redintelligence.net^$domain=g.doubleclick.net,1
||kochbar.de/moltenbundle/,1
||scfreiburg.com^*/04_Sponsoren/,1
||g.doubleclick.net^$domain=autobild.de|gofeminin.de|imasdk.googleapis.com,1
||ad.71i.de^$domain=autobild.de|gofeminin.de,1
||anime2you.de/koop-home/,1
||gbucket.ch^$third-party,1
||astronomie.de/uploads/tx_sfbanners/,1
||wp.com/nh24.de/wp-content/uploads/*/banner_,1
||3druck.com/wp-content/uploads/*/craftbot.jpg,1
||realtotal.de/data/betrugstest-com.jpg,1
||webwiki.de/images/seobility_,1
||f95.de/media/res/_rel/logos/sponsoren/,1
||sascdn.com^$domain=autobild.de,1
||nacktefoto.com/de-bonga.jpg,1
||tpc.googlesyndication.com^$domain=autobild.de,1
||adalizer.com^$third-party,1
||smartadserver.com^$domain=autobild.de,1
||schnittberichte.com/pics/blackillusions/,1
||cdn.flashtalking.com^$domain=autobild.de|imasdk.googleapis.com,1
||boersennews.de/images/smartbroker/,1
||trmads.eu^$third-party,1
||saechsische.de/img/semperoper.png,1
||pcgames.de/tsimg/topbanner/,1
-werbebanner.$domain=~merkur-werbebanner.de,1
||pcgameshardware.de/tsimg/topbanner/,1
||pfaffenhofen-today.de/images/banners/,1
||wohnmobilforum.de/luftfederung.jpg,1
||adnxs-simple.com/creative/$domain=autobild.de,1
||chatntr.com^$third-party,1
||google.com/adsense/$domain=autobild.de,1
||promiflash.de/static/js/pf-web-*.js|,1
"||asadcdn.com/adlib/$~script,~stylesheet,domain=autobild.de",1
||borncity.com/blog/wp-content/uploads/*/Book04.jpg,1
||neqty.net^$third-party,1
||mtb-news.de/news/wp-content/plugins/mtbn-ads/,1
||trmwidget.eu^$third-party,1
||fussballn.de/images/design/fussballn/hudson2.png,1
||viamichelin.de/static/*/adblocker/advertising.js,1
||adition.com^$domain=autobild.de|g.doubleclick.net,1
||schausteller.de/media/ad/,1
/grafik/ads/*,1
||netpoint-media.de^$third-party,1
||drehscheibe-online.de/ds_cms/banner/,1
||stroeerdigitalmedia.de^$third-party,1
||ad4m.at^$third-party,1
||static.criteo.net/js/ld/publishertag.prebid.js$domain=autobild.de,1
||lokalo.de/wp-content/uploads/*/tts-banner-,1
||koeln.de^*/werbung/,1
||solads.media^$third-party,1
||twiago.com^$third-party,1
||otto.de/wato-onsite/assets/*.wato.onsite.module.,1
||finanznachrichten.de/w/ad_,1
||ba-content.de^$third-party,1
||mygully.com/ca.php,1
||aff-handler.com^$third-party,1
